Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
Micromax,Yunique 2 Plus,YU5012,2934MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Micromax,Canvas A1,AQ4501_sprout,963-965MB,Phone,Mediatek MT6582,480x854,240,armeabi-v7a;armeabi,19;22;23,2.0
Micromax,Canvas A1,AQ4502_sprout,965MB,Phone,Mediatek MT6582,480x854,240,armeabi-v7a;armeabi,22;23,2.0
Micromax,Vdeo 4,Q4251,901MB,Phone,Qualcomm MSM8909,720x1280,320,armeabi-v7a;armeabi,23,3.0
Micromax,Canvas AMAZE,Q395,1976MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,22,2.0
Micromax,CANVAS DUET,AE90,842MB,Phone,Qualcomm MSM8625Q,540x960,240,armeabi-v7a;armeabi,16,2.0
Micromax,Canvas L,A108,963MB,Phone,Mediatek MT6582M,540x960,240,armeabi-v7a;armeabi,19,2.0
Micromax,CANVAS KNIGHT,s9320ae,1937MB,Phone,Mediatek MT6592T,1080x1920,480,armeabi-v7a;armeabi,17,2.0
Micromax,CANVAS KNIGHT,A350,1942MB,Phone,Mediatek MT6592T,1080x1920,480,armeabi-v7a;armeabi,19,2.0
Micromax,Bolt Pace,Q402,464MB,Phone,Spreadtrum SC9832,480x800,240,armeabi-v7a;armeabi,23,2.0
Micromax,CANVAS ENGAGE,A091,450MB,Phone,Broadcom BCM23550,480x800,240,armeabi-v7a;armeabi,19,2.0
Micromax,A72,A72,,Phone,Mediatek MT6515,480x800,240,armeabi-v7a;armeabi,10,2.0
Micromax,Micromax Selfie 2,Q4311,2899MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Micromax,Spark  4G(2017),Q409,917-934MB,Phone,Mediatek MT6735M,480x854,213;240,armeabi-v7a;armeabi,23;24,3.0;3.1
Micromax,A73,A73,,Phone,Mediatek MT6573,320x480,160,armeabi,10,2.0
Micromax,Canvas Blaze 4G Plus,Q414,935MB,Phone,Mediatek MT6735M,480x854,240,armeabi-v7a;armeabi,22,3.0
Micromax,Micromax Canvas 1,C1,1903MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Micromax,Canvas Play,Q355,965MB,Phone,Mediatek MTK6582M,480x854,240,armeabi-v7a;armeabi,21,2.0
Microtech,Microtech_e-tab_Style,Microtech_etabStyle,1959MB,Tablet,Mediatek MT8163,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,27,3.1
Microtech,e-tab_style_rev.3,e-tab_style_REV3,1960MB,Tablet,Mediatek MT8163,1200x1920,240,arm64-v8a;armeabi-v7a;armeabi,24,3.1
MiiA,MT-733G,MT-733G,463MB,Phone,Mediatek MT8312,600x1024,240,armeabi-v7a;armeabi,17,2.0
MiiA,MiiA,TA10CA1_2,966MB,Tablet,Intel Z2520,1280x800,160,x86;armeabi-v7a;armeabi,17,2.0
Mikona,MFHD_BT1067QC16IPS2,MFHD_BT1067QC16IPS2,1948MB,Tablet,Mediatek MT8167D,1200x1920,240,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Mikona,MIKONA,MSW_BT767QC8TN,961MB,Tablet,Mediatek MT8167A,600x1024,160,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Mint, M4,M4,910MB,Phone,Qualcomm MSM8212,480x800,240,armeabi-v7a;armeabi,19,3.0
Mint,M4CR2,Mint_Clover_Plus,926MB,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,24,2.0
Mint,Mint Fusion,Mint_Fusion,957MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
Mint,Mint VirGo,Mint_VirGo,451MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,27,2.0
Mint,Emerald,Emerald,964MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,24,2.0
Mint,M3CR2,Mint_Fox_Plus,926MB,Phone,Spreadtrum SC7731C,320x480,160,armeabi-v7a;armeabi,24,2.0
Mint,Pearl_Neo,Pearl_Neo,964MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,24,2.0
Mint,Clover,M4CR,963MB,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,23,2.0
Mint,M5,MINT-M5,,Phone,Qualcomm MSM8212,720x1280,320,armeabi-v7a;armeabi,19,3.0
Mint,Mint Leo,Mint_Leo,451MB,Phone,Mediatek MT6580M,480x800,240,armeabi-v7a;armeabi,27,2.0
Mint,MINT_Pearl_plus,MINT_Pearl_plus,957MB,Phone,Mediatek MT6580,1280x720,320,armeabi-v7a;armeabi,24,2.0
Mint,MINT Pandora,MINT_Pandora,957MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Mint,M55LD,Mint_fire,1877MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Mintt,A1,A1,853MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Mintt,Ultramintt R1,Ultramintt_R1,1859MB,Phone,Mediatek MT6737T,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Mintt,M1,M1,1862MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Mio Tab,MioTab,MioTab2016,999MB,Tablet,Rockchip RK3128,1024x600,160,armeabi-v7a;armeabi,23,2.0
Mio Tab,MioTab2017,MioTab2017,960MB,Tablet,Mediatek MT8167B,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Miophone,Mio Phone,MioPhone2016,1855MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,23,2.0
Miophone,Mio Phone,MioPhone2017,926MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Mirage,82S,MI-CH-82S,1885MB,Phone,Spreadtrum SC9832A,720x1280,320,armeabi-v7a;armeabi,24,2.0
Mirage,64T,MI-JI-64T,906MB,Tablet,Mediatek MT8735,600x1024,160,armeabi-v7a;armeabi,24,3.1
Mirage,62S,62S,964MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,24,2.0
Mirage,44T,MI-JI-44T,980MB,Tablet,Allwinner A64,600x1024,160,arm64-v8a;armeabi-v7a;armeabi,25,2.0
Mirage,MI-SO-81T,MI-SO-81T,1060MB,Tablet,Spreadtrum SC7731G,800x1280,213,armeabi-v7a;armeabi,24,2.0
Mirage,43T,MI-JI-43T,1855MB,Tablet,Allwinner A64,600x1024,160,arm64-v8a;armeabi-v7a;armeabi,25,2.0
Mito,MITO T85,T85,894MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,27,2.0
